Time,TMin,TMax,VMin,VMax,NMin,NMax
379,0.115374,0.116381,0.0047131,0.00659551,0.644302,1.02815
380,0.114725,0.115727,0.00466919,0.00654459,0.644672,1.02912
381,0.11408,0.115077,0.0046258,0.00649423,0.64504,1.03009
382,0.113438,0.11443,0.00458293,0.00644443,0.645405,1.03106
383,0.1128,0.113786,0.00454056,0.00639518,0.645768,1.03202
384,0.112164,0.113145,0.00449868,0.00634647,0.64613,1.03297
385,0.111532,0.112508,0.0044573,0.0062983,0.646489,1.03392
386,0.110904,0.111874,0.0044164,0.00625066,0.646846,1.03486
387,0.110278,0.111243,0.00437597,0.00620353,0.647201,1.0358
388,0.109656,0.110616,0.00433602,0.00615692,0.647554,1.03674
389,0.109037,0.109992,0.00429652,0.00611081,0.647904,1.03766
390,0.108421,0.109371,0.00425749,0.00606521,0.648253,1.03859
391,0.107808,0.108753,0.0042189,0.00602009,0.6486,1.03951
392,0.107199,0.108139,0.00418076,0.00597546,0.648944,1.04042
393,0.106593,0.107527,0.00414306,0.00593131,0.649287,1.04133
394,0.10599,0.106919,0.00410578,0.00588763,0.649628,1.04223
395,0.10539,0.106314,0.00406893,0.00584442,0.649966,1.04313
396,0.104793,0.105713,0.00403251,0.00580167,0.650303,1.04402
397,0.1042,0.105114,0.00399649,0.00575937,0.650637,1.04491
398,0.103609,0.104519,0.00396088,0.00571752,0.65097,1.0458
399,0.103022,0.103927,0.00392568,0.00567611,0.651301,1.04668
400,0.102438,0.103338,0.00389087,0.00563513,0.65163,1.04755
401,0.101857,0.102752,0.00385645,0.00559458,0.651957,1.04842
402,0.101279,0.102169,0.00382242,0.00555446,0.652282,1.04928
403,0.100704,0.10159,0.00378877,0.00551476,0.652605,1.05014
404,0.100132,0.101013,0.0037555,0.00547547,0.652926,1.051
405,0.0995629,0.10044,0.0037226,0.00543658,0.653246,1.05185
406,0.0989971,0.0998691,0.00369006,0.0053981,0.653563,1.0527
407,0.0984343,0.0993017,0.00365788,0.00536002,0.653879,1.05354
408,0.0978745,0.0987374,0.00362605,0.00532232,0.654193,1.05437
409,0.0973177,0.0981761,0.00359458,0.00528502,0.654505,1.05521
410,0.096764,0.0976178,0.00356346,0.00524809,0.654815,1.05603
411,0.0962132,0.0970625,0.00353267,0.00521154,0.655123,1.05686
